=======  节点名是！  =======
======= 提取了vecters们！ =======
x: -0.08554723, y: 0.1233922, z: -0.0006918926
x: -0.09779183, y: -0.08068446, z: 0.09988876
x: -0.09011466, y: -0.08117037, z: 0.2020729
x: -0.05780252, y: 0.01712657, z: 0.2003236
x: -0.09453633, y: 0.1150834, z: 0.1984772
x: -0.0927385, y: 0.1224204, z: 0.08123032
x: -0.186711, y: 0.1770352, z: -0.0006918926
x: -0.1793739, y: 0.1652765, z: 0.2057657
x: -0.187294, y: 0.1732452, z: 0.08171621
x: -0.08554723, y: 0.1233922, z: -0.0006918926
x: -0.2686332, y: 0.1400099, z: -0.0006918926
x: -0.186711, y: 0.1770352, z: -0.0006918926
x: -0.3018685, y: 0.03952641, z: 0.002612205
x: -0.0630988, y: 0.01046978, z: 0.0009601563
x: -0.2919562, y: -0.08369703, z: -0.0006918926
x: -0.07650955, y: -0.08904191, z: -0.0006918926
x: -0.1138264, y: -0.1656193, z: -0.0006918926
x: -0.2669811, y: -0.1571646, z: -0.0006918926
x: -0.1922502, y: -0.1886508, z: -0.0006918926
x: -0.3063975, y: 0.04593196, z: 0.6074345
x: -0.333532, y: 0.1255656, z: 0.5771415
x: -0.3145908, y: 0.1364676, z: 0.60246
x: -0.3276749, y: 0.04185871, z: 0.5833994
x: -0.3752543, y: 0.1122959, z: 0.5221278
x: -0.3354926, y: -0.01593255, z: 0.5954064
x: -0.3081852, y: -0.03228915, z: 0.6273783
x: -0.3559002, y: 0.03690257, z: 0.5347664
x: -0.4159043, y: 0.09984977, z: 0.4653338
x: -0.3813299, y: 0.02838362, z: 0.4737709
x: -0.3657154, y: -0.008702651, z: 0.5429295
x: -0.3881752, y: -0.01396272, z: 0.4821317
x: -0.4401745, y: -0.03037993, z: 0.5030253
x: -0.4140135, y: -0.01823657, z: 0.5739297
x: -0.5021552, y: -0.004361317, z: 0.5330172
x: -0.3782515, y: -0.02520302, z: 0.6410807
x: -0.3279126, y: -0.04822657, z: 0.702498
x: -0.4705707, y: -0.0007151887, z: 0.6035531
x: -0.4261431, y: 0.003035866, z: 0.6893618
x: -0.348709, y: -0.01324198, z: 0.7733418
x: -0.3677534, y: 0.03916959, z: 0.8188507
x: -0.4530568, y: 0.07305454, z: 0.6976668
x: -0.3739466, y: 0.1215108, z: 0.8171842
x: -0.3612995, y: 0.1674056, z: 0.7604766
x: -0.5007628, y: 0.06874424, z: 0.6151912
x: -0.5412866, y: 0.06884143, z: 0.5395856
x: -0.5172162, y: 0.1326194, z: 0.5315858
x: -0.4291877, y: 0.1449745, z: 0.6730891
x: -0.3336158, y: 0.1745812, z: 0.6680158
x: -0.4773283, y: 0.1321533, z: 0.5947785
x: -0.4638186, y: 0.1428741, z: 0.5008407
x: -0.3786982, y: 0.1600109, z: 0.6181934
x: -0.3145908, y: 0.1364676, z: 0.60246
x: -0.333532, y: 0.1255656, z: 0.5771415
x: -0.4267522, y: 0.1501861, z: 0.5568469
x: -0.4159043, y: 0.09984977, z: 0.4653338
x: -0.3752543, y: 0.1122959, z: 0.5221278
x: -0.4401745, y: -0.03037993, z: 0.5030253
x: -0.3911506, y: -0.03990701, z: 0.4356439
x: -0.3881752, y: -0.01396272, z: 0.4821317
x: -0.4471517, y: -0.05911066, z: 0.4443896
x: -0.5021552, y: -0.004361317, z: 0.5330172
x: -0.4396689, y: -0.07281295, z: 0.3725741
x: -0.3935087, y: -0.06649629, z: 0.3726712
x: -0.4000197, y: -0.07145243, z: 0.3089216
x: -0.4372394, y: -0.08340549, z: 0.3061034
x: -0.4237314, y: -0.04997579, z: 0.2881252
x: -0.4589104, y: -0.04161836, z: 0.3079498
x: -0.4710578, y: -0.05347425, z: 0.3696587
x: -0.4744591, y: -0.023543, z: 0.3626618
x: -0.5033213, y: -0.04093811, z: 0.4343802
x: -0.5379172, y: -0.04667169, z: 0.3504172
x: -0.4832052, y: -0.02344582, z: 0.3475018
x: -0.4822334, y: -0.03034555, z: 0.3049372
x: -0.5527857, y: 0.004250303, z: 0.4455558
x: -0.5412866, y: 0.06884143, z: 0.5395856
x: -0.5851638, y: 0.0737868, z: 0.4484426
x: -0.5172162, y: 0.1326194, z: 0.5315858
x: -0.5171208, y: -0.04667169, z: 0.2797678
x: -0.4560922, y: -0.0301512, z: 0.2665514
x: -0.4889388, y: -0.04404785, z: 0.2350653
x: -0.5398608, y: -0.0005114898, z: 0.2649965
x: -0.5082775, y: -0.000219956, z: 0.2205855
x: -0.5744566, y: 0.005416449, z: 0.3543044
x: -0.5709827, y: 0.1504552, z: 0.4490542
x: -0.5089493, y: 0.1571324, z: 0.4448375
x: -0.4638186, y: 0.1428741, z: 0.5008407
x: -0.471348, y: 0.103062, z: 0.4183072
x: -0.4159043, y: 0.09984977, z: 0.4653338
x: -0.5285576, y: 0.1748973, z: 0.3733515
x: -0.5850492, y: 0.1686778, z: 0.3723797
x: -0.5079176, y: 0.1045394, z: 0.3479877
x: -0.5252535, y: 0.1782014, z: 0.3236929
x: -0.4445495, y: 0.02514837, z: 0.4024445
x: -0.5005031, y: 0.02728181, z: 0.3318559
x: -0.5991402, y: 0.08675559, z: 0.3637308
x: -0.5667794, y: 0.1719819, z: 0.2969685
x: -0.5125534, y: 0.1792704, z: 0.2987177
x: -0.5358765, y: 0.1753832, z: 0.2645106
x: -0.5601712, y: 0.09579326, z: 0.2649965
x: -0.5436508, y: 0.01134439, z: 0.253335
x: -0.5252839, y: 0.09987479, z: 0.2194194
x: -0.5138167, y: 0.01552311, z: 0.2098958
x: -0.4744591, y: -0.023543, z: 0.3626618
x: -0.4832052, y: -0.02344582, z: 0.3475018
x: -0.4069194, y: -0.0141166, z: 0.3637308
x: -0.4589104, y: -0.04161836, z: 0.3079498
x: -0.4032345, y: 0.01844313, z: 0.4256123
x: -0.3813299, y: 0.02838362, z: 0.4737709
x: -0.3881752, y: -0.01396272, z: 0.4821317
x: -0.3911506, y: -0.03990701, z: 0.4356439
x: -0.3935087, y: -0.06649629, z: 0.3726712
x: -0.4122643, y: -0.03053991, z: 0.3066865
x: -0.4237314, y: -0.04997579, z: 0.2881252
x: -0.4000197, y: -0.07145243, z: 0.3089216
x: -0.5005031, y: 0.02728181, z: 0.3318559
x: -0.5398608, y: -0.0005114898, z: 0.2649965
x: -0.5744566, y: 0.005416449, z: 0.3543044
x: -0.4929231, y: 0.01746669, z: 0.2975516
x: -0.4832052, y: -0.02344582, z: 0.3475018
x: -0.4822334, y: -0.03034555, z: 0.3049372
x: -0.4709606, y: 0.01873003, z: 0.265774
x: -0.5082775, y: -0.000219956, z: 0.2205855
x: -0.4560922, y: -0.0301512, z: 0.2665514
x: -0.4599794, y: -0.0141166, z: 0.2389524
x: -0.4889388, y: -0.04404785, z: 0.2350653
x: -0.5079176, y: 0.1045394, z: 0.3479877
x: -0.5252535, y: 0.1782014, z: 0.3236929
x: -0.5285576, y: 0.1748973, z: 0.3733515
x: -0.5074317, y: 0.1022071, z: 0.2902631
x: -0.5125534, y: 0.1792704, z: 0.2987177
x: -0.4902993, y: 0.1061915, z: 0.2569306
x: -0.5358765, y: 0.1753832, z: 0.2645106
x: -0.5252839, y: 0.09987479, z: 0.2194194
x: -0.5005031, y: 0.02728181, z: 0.3318559
x: -0.5074317, y: 0.1022071, z: 0.2902631
x: -0.5079176, y: 0.1045394, z: 0.3479877
x: -0.4994342, y: 0.02456079, z: 0.284238
x: -0.4902993, y: 0.1061915, z: 0.2569306
x: -0.5436508, y: 0.01134439, z: 0.253335
x: -0.5744566, y: 0.005416449, z: 0.3543044
x: -0.5138167, y: 0.01552311, z: 0.2098958
x: -0.466296, y: 0.0292254, z: 0.2463381
x: -0.5252839, y: 0.09987479, z: 0.2194194
x: 0.3334732, y: 0.1255656, z: 0.5771416
x: 0.3063389, y: 0.04593195, z: 0.6074346
x: 0.3145322, y: 0.1364676, z: 0.6024601
